CODE,MIN,MODE,MAX,COMMENTS,Log_MIN,Log_MAX,Log_MODE,MIN_imputed,MAX_imputed,MODE_imputed
180256009,5935.44,11870.87276,23741.75,Subcutaneous immunotherapy,8.688864906089387,10.07503249970261,9.38192724769474,5935.439999999998,23741.749999999993,11870.872759999997
313191000,1284.51,2569.027213,5138.05,Injection of adrenaline,7.1589108057499775,8.54462351646426,7.851671766549159,1284.51,5138.049999999997,2569.0272130000003
80146002,6184.83,12369.65,24739.3,Appendectomy,8.730016471457759,10.116188771984518,9.423082010489443,6184.829999999998,24739.299999999996,12369.649999999998
405783006,5132.8,10265.59304,20531.19,Psychological assessment,8.54360140469254,9.92974917748503,9.23665050883927,5132.800000000004,20531.190000000017,10265.593040000003
228557008,5132.8,10265.59304,20531.19,Cognitive and behavioral therapy,8.54360140469254,9.92974917748503,9.23665050883927,5132.800000000004,20531.190000000017,10265.593040000003
399208008,3805.29,7610.58,15221.16,Plain chest X-ray (procedure),8.244410240434187,9.630507539874447,8.93742605085595,3805.290000000001,15221.159999999994,7610.5799999999945
269911007,3048.51,6097.0171,12194.03,Sputum examination (procedure),8.022736200957237,9.408783770671596,8.715718931742366,3048.5099999999993,12194.030000000006,6097.017099999998
73761001,5856.4,11712.80115,23425.6,Colonoscopy,8.675461098106473,10.061627407869057,9.36852301109161,5856.400000000003,23425.600000000013,11712.80115
104435004,3048.51,6097.0171,12194.03,Screening for occult blood in feces (procedure),8.022736200957237,9.408783770671596,8.715718931742366,3048.5099999999993,12194.030000000006,6097.017099999998
274031008,5062.49,10124.97792,20249.96,Rectal polypectomy,8.529811247851855,9.915957478818397,9.222859472002098,5062.490000000001,20249.960000000003,10124.977920000007
76164006,5856.4,11712.80115,23425.6,Biopsy of colon,8.675461098106473,10.061627407869057,9.36852301109161,5856.400000000003,23425.600000000013,11712.80115
43075005,11874.36,23748.71475,47497.43,Partial resection of colon,9.3822209442328,10.768451936844903,10.075325798864345,11874.35999999999,47497.42999999997,23748.714750000006
387607004,15874.74,31749.48505,63498.97,Construction of diverting colostomy,9.672547436847713,11.058794712439726,10.365663281369498,15874.73999999999,63498.96999999994,31749.48505000002
703423002,5935.44,11870.87276,23741.75,Combined chemotherapy and radiation therapy (procedure),8.688864906089387,10.07503249970261,9.38192724769474,5935.439999999998,23741.749999999993,11870.872759999997
287664005,3755.29,7510.570372,15021.14,Bilateral tubal ligation,8.231187047145287,9.617280391867022,8.92419982702679,3755.289999999998,15021.140000000003,7510.5703720000065
169553002,4532.15,9064.305145,18128.61,Insertion of subcutaneous contraceptive,8.419172341061797,9.8053017922103,9.11220978450878,4532.150000000002,18128.609999999993,9064.305145000006
76601001,1284.51,2569.027213,5138.05,Intramuscular injection,7.1589108057499775,8.54462351646426,7.851671766549159,1284.51,5138.049999999997,2569.0272130000003
65200003,4532.15,9064.305145,18128.61,Insertion of intrauterine contraceptive device,8.419172341061797,9.8053017922103,9.11220978450878,4532.150000000002,18128.609999999993,9064.305145000006
22523008,6568.03,13136.06819,26272.14,Vasectomy,8.790121459787205,10.176302403515368,9.483193146138841,6568.029999999997,26272.139999999992,13136.068190000009
46706006,4532.15,9064.305145,18128.61,Replacement of contraceptive intrauterine device,8.419172341061797,9.8053017922103,9.11220978450878,4532.150000000002,18128.609999999993,9064.305145000006
